Percentage of Fatal Car Crashes per Population in Illinois Counties in 2019
=======================================================================

County Name:  Percentage of Fatalities per Population:  

Adams:  0.0015222785465284438

Alexander:  0.08250825082508251

Bond:  0.01803968731208659

Boone:  0.0018664725535211004

Brown:  0.0

Bureau:  0.012123783832934259

Calhoun:  0.020824656393169515

Carroll:  0.013974287311347122

Cass:  0.03262642740619902

Champaign:  0.0028573741683850596

Christian:  0.006123511221334313

Clark:  0.012823800974608873

Clay:  0.015090922809929828

Clinton:  0.005313637450516751

Coles:  0.003930431364842292

Cook:  0.005675135551770846

Crawford:  0.005317169139150316

Cumberland:  0.01850481125092524

DeKalb:  0.03804933730737523

DeWitt:  0.001920436323132616

Douglas:  0.015401201293700907

DuPage:  0.004092230254719795

Edgar:  0.01152073732718894

Edwards:  0.0

Effingham:  0.03800280636108513

Fayette:  0.014008218154650729

Ford:  0.030156815440289503

Franklin:  0.03100695072478747

Fulton:  0.01721960739295144

Gallatin:  0.05931198102016608

Greene:  0.015332720024532353

Grundy:  0.025504198383426196

Hamilton:  0.012250398137939484

Hancock:  0.005604124635731899

Hardin:  0.051150895140664954

Henderson:  0.044716053063049634

Henry:  0.016296598085149723

Iroquois:  0.03984929720330387

Jackson:  0.019157421759347953

Jasper:  0.010404744563520966

Jefferson:  0.021152829190904283

Jersey:  0.03204101249599487

Jo Daviess:  0.009360666479453337

Johnson:  0.0

Kane:  0.005990086406996421

Kankakee:  0.016360066894495748

Kendall:  0.005472384005003322

Knox:  0.005986590038314176

LaSalle:  0.009138261902586127

Lake:  0.006135564586091959

Lawrence:  0.012686330478908976

Lee:  0.00876603453817608

Livingston:  0.030759766225776686

Logan:  0.006914433880726016

Macon:  0.010505004202001681

Macoupin:  0.008827488800123585

Madison:  0.013612593161184445

Marion:  0.02126528442317916

Marshall:  0.03468007629616785

Mason:  0.022115739034279398

Massac:  0.028409090909090908

McDonough:  0.020030045067601403

McHenry:  0.006805587062903068

McLean:  0.008100539264471036

Menard:  0.016276041666666664

Mercer:  0.0

Monroe:  0.00873743993010048

Montgomery:  0.045452956190342994

Morgan:  0.020602778431834234

Moultrie:  0.013589726167017733

Ogle:  0.017673742709581133

Peoria:  0.006090100265196184

Perry:  0.018891092849721354

Piatt:  0.006099048548426445

Pike:  0.032028697713150985

Pope:  0.023741690408357077

Pulaski:  0.018304960644334616

Putnam:  0.05226480836236934

Randolph:  0.009344047841524948

Richland:  0.006343970056461333

Rock Island:  0.005575806575269904

Saline:  0.012549150840793106

Sangamon:  0.00767860433687573

Schuyler:  0.014478065730418415

Scott:  0.04060089321965083

Shelby:  0.03219723103813072

St. Clair:  0.00995943445734489

Stark:  0.018426386585590565

Stephenson:  0.020110383661430517

Tazewell:  0.00831267758902122

Union:  0.01781366902202957

Vermilion:  0.0143217977762154

Wabash:  0.008658758334054896

Warren:  0.011742602160638799

Washington:  0.028581636298678097

Wayne:  0.00612294881214793

White:  0.029271862422246615

Whiteside:  0.005393161471254449

Will:  0.007944417963051235

Williamson:  0.010439036029587212

Winnebago:  0.010208356067459633

Woodford:  0.005199802407508515

